id,title,url,description,organization
5e174be4634f414cd8a244f1,Critères de répartition des dotations versées par l’Etat aux collectivités territoriales,http://www.data.gouv.fr/fr/datasets/criteres-de-repartition-des-dotations-versees-par-letat-aux-collectivites-territoriales/,Ce jeu de données vous permet d’accéder aux principaux critères physiques et financiers utilisés pour la répartition des fonds nationaux de péréquation et pour la répartition des dotations de l’État aux collectivités territoriales. Ces principaux critères physiques et financiers sont consultables pour l’ensemble des collectivités territoriales en format csv.,Direction générale des collectivités locales
5e172aac6f4441228c06d87b,Recommandations issues des Rapports d'Observations Definitives (ROD) des Chambres Regionales des Comptes (CRC),http://www.data.gouv.fr/fr/datasets/recommandations-issues-des-rapports-dobservations-definitives-rod-des-chambres-regionales-des-comptes-crc/,Les CRC sont des juridictions financieres independantes. Elles produisent des rapports d'observations quant a la gestion d'entites dotes de fonds publics. Ces rapports s'accompagnent de recommandations visant a pallier aux problemes constates. ,Cour des comptes
5e1726136f44411a83576fd1,Rapports d'observations définitives des Chambres Régionales des Comptes (CRC),http://www.data.gouv.fr/fr/datasets/rapports-dobservations-definitives-des-chambres-regionales-des-comptes-crc/,Fichiers textes tirés des rapports d'observations définitives des Chambres Régionales des Comptes accessibles en ligne. ,Cour des comptes
5e1465ef634f413f2cc19e8d,Population légale (t_popleg_com),http://www.data.gouv.fr/fr/datasets/population-legale-t-popleg-com/,"La table t_popleg_com est une table de la base de données DataSanté ; elle restitue au niveau communal la population légale (population municipale, population comptée à part et population totale) en vigueur au 1er janvier. La population des villes de Paris, Lyon et Marseille est également déclinée par arrondissement municipal.

DataSanté est une base de données mise à disposition par le projet AtlaSanté. Cet outil a été construit pour stocker et partager des informations provenant de différentes sources de données, afin d'alimenter les cartes interactives produites par Atlasanté (SIRSé, CartoSanté, …).
Les données restituées dans DataSanté sont publiques et sont mises à jour au fil de l'eau en fonction des publications des producteurs de données.
Chaque table est décrite dans un dictionnaire des données (source de données, champs de la table, …). Des mémos chiffrés sont également mis à disposition pour restituer quelques dénombrements principaux.
Pour en savoir plus, vous pouvez consulter le site d'Atlasanté (www.atlasante.fr).
",Atlasanté
5e1462e28b4c414163b4dc4b,Les données contextuelles des intercommunalités et autres structures territoriales,http://www.data.gouv.fr/fr/datasets/les-donnees-contextuelles-des-intercommunalites-et-autres-structures-territoriales/,"Dans le cadre de ses activités, la Direction générale des collectivités locales (DGCL) opère le portail d'Accès des services publics aux informations sur les collectivités (ASPIC). Sont saisies dans ce portail des données à propos des intercommunalités. 

## Les données des intercommunalités 

Parmi les données contenues dans ASPIC figure la base nationale sur les intercommunalités (BANATIC). Les données de la BANATIC renseignent des informations sur les intercommunalités : la situation géographique, la nature juridique, la date de création, le périmètre, le profil financier, les compétences exercées et le président de l’organe délibérant. 

**Ces données sont publiées sur le site https://www.banatic.interieur.gouv.fr/**. 

## Les données contextuelles des intercommunalités 

Les données présentées dans la base nationale sur les intercommunalités (BANATIC) sont complétées par des données contextuelles déversées dans le portail d'Accès des services publics aux informations sur les collectivités (ASPIC). 

Le présent jeu de données propose deux types de données :
- Des données sur les ressources financières et fiscales des intercommunalités, communes, départements : dotation globale de fonctionnement, dotation de solidarité rurale, dotation nationale de péréquation totale, dotation élu local, etc.
- Des données socio-démographiques des intercommunalités et autres structures territoriales : population, variation de la population, densité; revenus, taux d'activité, taux de chômage, etc (pas de données de revenu, taux d’activité, taux de chômage pour intercommunalités, cantons)


Ces données proviennent de deux producteurs de données : 
- Les données sur les ressources financières et fiscales des intercommunalités sont produites par la Direction générale des collectivités locales (DGCL). 
-  Les données socio-démographiques des intercommunalités sont produites et publiées par l['Institut national de la statistique et des études économiques (INSEE)](https://www.data.gouv.fr/fr/organizations/institut-national-de-la-statistique-et-des-etudes-economiques-insee/).

Le périmètre géographique proposé est le suivant : 
- Communes 
- Groupements 
- Départements
- Cantons 
- Arrondissements

Les statistiques disponibles sont propres à chaque maille géographique. Pour retrouver ces différentes statistiques, vous pouvez vous référer au fichier ZIP de documentation contenant les tables de codes pour chaque fichier.

La colonne type de chaque table de codes correspond au type de la valeur de la statistique associée :
    I : entier (integer)
    B : booléen
    P1 : pourcentage, un chiffre après la virgule
    D1 : décimal, un chiffre après la virgule
    etc.
## Liens utiles
- [Site web dédié à la BANATIC](https://www.banatic.interieur.gouv.fr/)
- [Glossaire des termes](https://www.banatic.interieur.gouv.fr/V5/ressources/glossaire.php)",Direction générale des collectivités locales
5e00cb376f44411008f3ba7f,"Consultation ""Vers un Revenu universel d'activité"" ",http://www.data.gouv.fr/fr/datasets/consultation-vers-un-revenu-universel-dactivite-1/,"La consultation ""Vers un revenu universel d'activité"" a invité les citoyens à s'exprimer sur le futur revenu universel d'activité, du 9 octobre au 20 novembre 2019.
En s'exprimant sur les principes et les objectifs du futur revenu universel d'activité, en proposant leurs idées, ils ont participé à l'élaboration du projet de loi qui sera déposé au Parlement dans le courant de l'année 2020.
Le revenu universel d’activité est un élément majeur de la stratégie nationale de prévention et de lutte contre la pauvreté, présentée par le président de la République en septembre 2018.",Ministère des Solidarités et de la Santé
5e00c0766f444173066f7e48,Consultation citoyenne en ligne sur les retraites ,http://www.data.gouv.fr/fr/datasets/consultation-citoyenne-en-ligne-sur-les-retraites-1/,"Lancée le 3 octobre par le président de la République et pilotée par Jean-Paul Delevoye, haut-commissaire aux Retraites, la « consultation citoyenne en ligne sur les retraites » a permis à chacun de s’informer et d’exprimer ses interrogations, ses espoirs et ses inquiétudes concernant le futur système universel de retraites jusqu'au 8 décembre 2019.

Cette consultation s'articulait autour de trois modules :

   • un questionnaire rapide pour s’exprimer en quelques minutes sur les priorités et les solutions proposées pour le futur système universel ;

   • un module présentant les principales préconisations du haut-commissaire et permettant à tous de donner un avis ;

   • un module de questions/réponses pour permettre chaque semaine à Jean-Paul Delevoye de répondre aux 5 questions les plus soutenues.

",Ministère des Solidarités et de la Santé
5dfba7b7634f4139f40f5032,Taux de réussite auto-école par auto-école en 2018,http://www.data.gouv.fr/fr/datasets/taux-de-reussite-auto-ecole-par-auto-ecole-en-2018/,"Taux de réussite auto-école par auto-école en 2018, pour les permis A1, A2, B, B1, BE, C + C1, CE + C1E, D + D1 + DE

Producteur des données : Sécurité Routière (DSR) / Ministère de l'intérieur

Notes du producteur de données : ""Ces résultats sont à relativiser au regard du nombre d’examinés dans l’année écoulée.
La connaissance des résultats d'un établissement ne peut remplacer un rendez-vous avec le responsable de l'école de conduite qui vous informera sur ses pratiques pédagogiques (nombre d'heures de formation par exemple), ainsi que les conditions commerciales et contractuelles.""
",
5dfb15a46f444120b1aac1f9,Modèle de surcote océanique - Séries temporelles ponctuelles,http://www.data.gouv.fr/fr/datasets/modele-de-surcote-oceanique-series-temporelles-ponctuelles/,"Résultat d'un modèle numérique de prévision de la surcote océanique forcé par un modèle atmosphérique et intégrant une simulation de la marée. Calculs sur une grille curvilinéaire de résolution variable, d'environ 1km le long des côtes françaises. Paramètres fournis : surcote instantanée, surcote maximale sur les 3 dernières heures, surcote maximale sur les 24 heures précédentes (toutes les 24h).

Sorties sous forme de séries temporelles à différents ports et points d'intérêt côtiers.

Europe - Fréquence : 6h - Format : ASCII - Résolution de calcul de 1km le long des côtes.
",Météo-France
5dfb14436f44411b81bf401b,Fiche climatologique des stations de Météo France,http://www.data.gouv.fr/fr/datasets/fiche-climatologique-des-stations-de-meteo-france/,"Fiche synthétique contenant les normales et les records d'une station.

 

Il existe deux types de fiches climatologiques :

    Précipitations-températures
    Complètes : précipitations, température et au moins un autre paramètre (vent, insolation, rayonnement global, ou l'ensemble des occurrences).
",Météo-France
